Timestamp,What is your current role?,Which presentation are you evaluating?,1. How clear were the presenters' research questions and or objectives?,2. How clear was the analysis carried out by the group?,3. How clear were the results?,4. How easy was it to read and follow the presentation?,5. How clear were the charts and visualizations?,6. How clear were the charts and visualizations?,7. How effectively did this presentation draw you in for further discussion?,8. Please provide any comments or suggestions?,Commenter
2/9/2023 10:32:45,Faculty,Group 9 - Analysis_of_Vehicle_Emissions,"Average (50 - 75%) Questions appropriate, coherent, and motivated Questions well motivated, interesting, insightful, and novel","Above Average (75% - 100%) Analysis appropriate, complete, advanced, and informative","Average (50% - 75%) Conclusions relevant, but partially correct or partially complete. Plots convey information but lack context for interpretation",Average (50% - 75%) Presentation is reasonably well organized. There is little unused or irrelevant content. Slides contents are generally meaningful and helpful for understanding.,Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Average (50% - 75%) Generates some interest in discussion.,"Overall good job with your analysis. Please see my feedback below:
1. The research questions could be more specific and testable; meaning that it should be possible to design an empirical study to collect data and answer the question. E.g.""What is the impact of imported vehicles on fuel efficiency and emissions in Kenya, and how does it compare to locally manufactured vehicles?"" and """"What are the most frequently purchased vehicle models and brands in Kenya and what factors influence consumers' purchasing decisions?"" Having a good research question is crucial for the success of any research project, as it provides a roadmap for the study and helps to ensure that the findings are meaningful and useful.
2. Some of the takeaways from the visualizations were not clear.  A good practice when presenting is to include a caption above or below the visualization with a 1 sentence takeaway.
3. Some of your charts are too colorful, which can distract the audience. Sometimes we use color as ""eye candy"", but we should focus on using it to draw attention to some aspect of the visualization. Otherwise our brain tries to draw meaning from all the colors and where there isn't, it can confuse the audience, even it may look ""nice"", the cost in the form of confusion to the brain is not worth it.
4. In the PCA discussion, I would discuss how each of the variables loaded to the PCs and what % of the variance each PC explained. 
5. Your plot of the Kmeans groups by PC1/PC2 does clearly show there are 4 clusters.
6. In compiling your recommendations, I recommend you more clearly reference your analysis to support your recommendations.

Below are a few tips on creating effective data visualizations:
a.  Choose the right type of visualization: There are many types of data visualizations, each with its own strengths and weaknesses. It's important to choose the right type of visualization for the data you want to present and the message you want to convey.
b. Keep it simple: Avoid cluttering the visualization with too much information. Stick to the most important data and use colors, labels, and annotations sparingly.
c. Use clear labeling and annotations: Make sure the axes, labels, and annotations are clear and easy to read. Use a font that is large enough to be easily legible.
d. Highlight patterns and trends: Use visual elements like colors, shapes, and lines to highlight patterns and trends in the data. This can help to make the data more interpretable and easy to understand.
f. Test and iterate: Always test your visualization with a sample of the target audience to ensure that it effectively communicates the intended message. If necessary, iterate and make improvements based on feedback.",1
2/10/2023 16:13:19,Industry Professional,Group 6 - Predicting_Diabetes_in_Pregnant_Women,"Above Average (75% - 100%) Questions well motivated, interesting, insightful, and novel",Average (50% - 75%) Analysis was appropriate,Above Average (75% - 100%) Relevant conclusions explicitly tied to analysis and to context. Plots convey information correctly with adequate and appropriate reference information,Above Average (75% - 100%) Presentation is very well organized. No irrelevant or distracting content. Slides contents have clear relationship to their purpose in the presentation. Content is easy to read and understand.,"Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).","Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).",Above Average (75% - 100%) Takes successful steps to generate interest and discussion.,"The data set was limited to one site due to limited availability, but the presentation was clear. As a learning model, it will likely become more effective in predicting outcomes as more data becomes available. Great job ",1
2/12/2023 21:17:09,Industry Professional,Group 2 - Determining_Planting_Calendar_in_India,"Average (50 - 75%) Questions appropriate, coherent, and motivated Questions well motivated, interesting, insightful, and novel",Average (50% - 75%) Analysis was appropriate,"Average (50% - 75%) Conclusions relevant, but partially correct or partially complete. Plots convey information but lack context for interpretation",Above Average (75% - 100%) Presentation is very well organized. No irrelevant or distracting content. Slides contents have clear relationship to their purpose in the presentation. Content is easy to read and understand.,"Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).",,Above Average (75% - 100%) Takes successful steps to generate interest and discussion.,"Good overall presentation! When developing research questions, they should be formulated on basis of the problem statement. Questions are majorly formulated on a concept of dependent vs independent variable. 

Secondly, it's a good academic practice to cite, reference and cross reference any knowledge you use in your research. This goes a long way in allowing others to fact check any points of concern and where possible add or subtract from the findings. 

Finally, charts are a great way to share statistical evidence and also to explain abstract constructs of any research question. However, with limited or no labeling at all, it becomes another recipe for confusion of concepts. In future, endeavor to label graphs with proper keys, headings, metrics and most importantly, again, if borrowed, with proper citations. ",1
2/12/2023 21:33:09,Industry Professional,Group 4 - Predicting_Poor_Performance_in_High_School,"Above Average (75% - 100%) Questions well motivated, interesting, insightful, and novel","Above Average (75% - 100%) Analysis appropriate, complete, advanced, and informative",Above Average (75% - 100%) Relevant conclusions explicitly tied to analysis and to context. Plots convey information correctly with adequate and appropriate reference information,Above Average (75% - 100%) Presentation is very well organized. No irrelevant or distracting content. Slides contents have clear relationship to their purpose in the presentation. Content is easy to read and understand.,"Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).",Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Average (50% - 75%) Generates some interest in discussion.,"In future, you may want to limit how much you read word for word from your presentation. It takes away from the perception that you had enough time to prepare and present. It also breaks the confidence of your listeners and overall allows no room for engagement with your audience. 

I would recommend making proper citations in reference to the data and or research relied on to develop your own model. Other than mentioning it, you may want to add it to the presentation in a proper accepted academic referencing style. ",1
2/13/2023 0:15:06,Industry Professional,Group 2 - Determining_Planting_Calendar_in_India,"Below Average (0 - 50%) Questions overly simplistic, unrelated, or unmotivated",Average (50% - 75%) Analysis was appropriate,"Average (50% - 75%) Conclusions relevant, but partially correct or partially complete. Plots convey information but lack context for interpretation",Above Average (75% - 100%) Presentation is very well organized. No irrelevant or distracting content. Slides contents have clear relationship to their purpose in the presentation. Content is easy to read and understand.,"Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).","Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).",Average (50% - 75%) Generates some interest in discussion.,"I think the problem was too shallowly studied and understood from the onset, but the presentation was good and the graphic presentation was nice.

A bit overly broad of an application with too little data points. I would want to study the subject data significantly more and control many more variables before making a model with any conclusions.",1
2/13/2023 0:22:16,Industry Professional,Group 6 - Predicting_Diabetes_in_Pregnant_Women,"Above Average (75% - 100%) Questions well motivated, interesting, insightful, and novel","Above Average (75% - 100%) Analysis appropriate, complete, advanced, and informative",Above Average (75% - 100%) Relevant conclusions explicitly tied to analysis and to context. Plots convey information correctly with adequate and appropriate reference information,Above Average (75% - 100%) Presentation is very well organized. No irrelevant or distracting content. Slides contents have clear relationship to their purpose in the presentation. Content is easy to read and understand.,"Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).","Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).",Above Average (75% - 100%) Takes successful steps to generate interest and discussion.,"I really enjoyed the presentation, the work to pull in multiple data points and the awareness that the model is a work in progress. The presentation and content was well done from start to finish. 

The presentation had me ideating about a suite of tools along this line of thought that would share probabilities of complications based on characteristics of your health.

I know many health care professionals and software suites have this, but such an easy to self evaluate form is very cool.  ",1
2/13/2023 0:34:01,Industry Professional,Group 4 - Predicting_Poor_Performance_in_High_School,"Above Average (75% - 100%) Questions well motivated, interesting, insightful, and novel","Above Average (75% - 100%) Analysis appropriate, complete, advanced, and informative",Above Average (75% - 100%) Relevant conclusions explicitly tied to analysis and to context. Plots convey information correctly with adequate and appropriate reference information,Above Average (75% - 100%) Presentation is very well organized. No irrelevant or distracting content. Slides contents have clear relationship to their purpose in the presentation. Content is easy to read and understand.,Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Above Average (75% - 100%) Takes successful steps to generate interest and discussion.,"I really felt like the study of the underlying data before venturing into the modeling was key to the success of this presentation. Just exploring with curiosity some zoomed out, casual observations of the dataset was a great approach. 

Some surprising conclusions from the model but the presenters recommendations didn’t seem to align with the model, which was curious ",1
2/13/2023 0:39:17,Industry Professional,Group 1 Time_Series_Analysis_of_Global_Temperature,"Average (50 - 75%) Questions appropriate, coherent, and motivated Questions well motivated, interesting, insightful, and novel",Average (50% - 75%) Analysis was appropriate,"Average (50% - 75%) Conclusions relevant, but partially correct or partially complete. Plots convey information but lack context for interpretation",Average (50% - 75%) Presentation is reasonably well organized. There is little unused or irrelevant content. Slides contents are generally meaningful and helpful for understanding.,Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Below Average (0% - 50%) Generates minimal interest in discussion.,"Beginning - Liked how you introduced Time Series Analysis and grounded the audience in your research topic. Framework slide - you can skip this slide or spend a few moments introducing each topic as your agenda for the presentation. Consider reducing the words on your first few slides. If you're not going to speak to it, remove it from the slide. That enables the audience to focus more on what you are saying. Your presenter was very clear and informative, and I want the audience to be able to focus on the presenter's words. Analysis - Effectively walked the audience through how you cleaned and constructed the data. Slide with the world maps side-by-side was effective. End/Recommendations - consider diving deeper into recommendations and next steps. The model was proven effective, so what will you do with the information? Or where would you recommend a future team pick up and progress the analysis to address climate change and its impact?",1
2/13/2023 0:41:05,Data Science Student,Group 7 - Factors_Affecting_Students_Academic_Performance,"Average (50 - 75%) Questions appropriate, coherent, and motivated Questions well motivated, interesting, insightful, and novel",Average (50% - 75%) Analysis was appropriate,Above Average (75% - 100%) Relevant conclusions explicitly tied to analysis and to context. Plots convey information correctly with adequate and appropriate reference information,Above Average (75% - 100%) Presentation is very well organized. No irrelevant or distracting content. Slides contents have clear relationship to their purpose in the presentation. Content is easy to read and understand.,Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Average (50% - 75%) The data was presented using somewhat appropriate data visualization techniques with default color settings (i.e. proper graphs and charts).,Average (50% - 75%) Generates some interest in discussion.,"It sounded like the dataset was limited, but some interesting discoveries were uncovered. Something as simple  as a good meal during testing has such a big impact on performance/evaluation, I simply wasn’t aware!

Not much advanced modeling, but frankly I think the data was simplistic enough to simply evaluate and share findings.",1
2/13/2023 0:50:31,Industry Professional,Group 8 - Identifying_High_Performance_Riders,"Above Average (75% - 100%) Questions well motivated, interesting, insightful, and novel","Above Average (75% - 100%) Analysis appropriate, complete, advanced, and informative",Above Average (75% - 100%) Relevant conclusions explicitly tied to analysis and to context. Plots convey information correctly with adequate and appropriate reference information,Above Average (75% - 100%) Presentation is very well organized. No irrelevant or distracting content. Slides contents have clear relationship to their purpose in the presentation. Content is easy to read and understand.,"Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).","Above Average (75% - 100%) The data was presented clearly, using appropriate data visualization techniques and customized color options relevant to the case(i.e. proper graphs and charts).",Above Average (75% - 100%) Takes successful steps to generate interest and discussion.,"I found it very engaging and interesting through and through.
The work to clean up that kind of data is heavy, trust me I live it. So coming out with workable data for analysis is a job well done. Very interesting and some even seemingly  contradictory discoveries in the data which is what can be so great about exploring data with limited preconceptions (if the data is right and the process is right, the discoveries should be considered as plausibly true).

Very fun, well done ",1
